"Test Case ID",Scenario,"Testing Type",Severity,Priority,"Feature Name","Sub Feature Name","Test Conditions","Test Idea","Test Data","Acceptance Criteria","Test Steps","Test Flow Name","Request Method","API End Point","Expected Output",cURL
TES10584,"Prepare Bugasura environments with Vietnamese bundles, detection inputs, and seeded accounts to enable smooth localization execution.",usability,HIGH,P2,"Vietnamese Language Support","Test Data Preparation","QA and staging environments include Vietnamese-ready resource bundles, configurable detection inputs, seeded accounts, and representative Vietnamese text data.","As a QA engineer, I want QA and staging environments preloaded with Vietnamese resource bundles, detection inputs, user-state accounts, and representative text data so that localization testing can start with reliable and repeatable prerequisites.","[{""type"":""text"",""key"":""base_url"",""value"":""{{apiurl_signup}}"",""test_data_id"":""26043"",""value_variables"":[{""name"":""{{apiurl_signup}}"",""value"":""https:\/\/api.bugasura.io\/users\/signup"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26043""}]},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""first_name"",""value"":""{{first_name}}"",""test_data_id"":""25942"",""value_variables"":[{""name"":""{{first_name}}"",""value"":""Syed"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""25942""}]},{""type"":""text"",""key"":""last_name"",""value"":""{{last_name}}"",""test_data_id"":""25941"",""value_variables"":[{""name"":""{{last_name}}"",""value"":""Rehman"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""25941""}]}]","Environment readiness with bundles, accounts, and datasets is explicitly required for effective Vietnamese validation.","Step 1: Navigate to the Bugasura login page using {{base_url}} 
Step 2: Enter {{email}} in the 'Email' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click the 'Login' button 
Step 5: Wait for the Dashboard to load 
Step 6: Navigate to the 'Settings' screen 
Step 7: Select the 'Language Preferences' option 
Step 8: Choose 'Vietnamese' from the dropdown menu 
Step 9: Confirm the selection and save preferences 
Step 10: Verify that the language persists across session changes 
Step 11: Verify that UI components and API responses are localized in Vietnamese 
Step 12: Load Vietnamese test data for UI and API functionalities 
Step 13: Validate the presence of Vietnamese resource bundles 
Step 14: Verify detection inputs are correctly configured 
Step 15: Ensure seeded accounts are set up with and without saved Vietnamese preference",,,,,
TES10583,"Prepare Bugasura Vietnamese UI datasets for key modules to support reliable localization across core journeys.",functionality,HIGH,P2,"Vietnamese Language Support","Test Data Preparation","Vietnamese locale data covers core UI strings across key supported modules and user-facing surfaces.","As a QA engineer, I want a seeded Vietnamese dataset containing translations for navigation, settings, dashboard, core bug reporting, test management screens, dialogs, and key error messages so that I can validate core UI coverage consistently across environments.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/api.bugasura.io"",""test_data_id"":""62""},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""value_variables"":[]}]","Core UI string coverage is a primary acceptance criterion for Vietnamese-specific test data.","Step 1: Navigate to {{base_url}} 
Step 2: Authenticate user with {{email}} and {{password}} 
Step 3: Navigate to 'Settings' screen 
Step 4: Select 'Language Preferences' option 
Step 5: Choose 'Vietnamese' from the dropdown 
Step 6: Confirm and save preferences 
Step 7: Verify localized navigation and dashboard 
Step 8: Verify localized core bug reporting and test management screens 
Step 9: Verify localized dialogs and key error messages",,,,,
TES10582,"Prepare Bugasura diacritic-rich records for titles, comments, names, and search terms to reflect real Vietnamese usage.",localizability,HIGH,P2,"Vietnamese Language Support","Test Data Preparation","Dataset includes Vietnamese diacritic-rich values across titles, comments, user names, and search terms, including normalization-sensitive variations.","As a QA engineer, I want representative Vietnamese strings with tone marks, mixed case, punctuation, long strings, and near-duplicates with and without diacritics so that I can validate rendering and localizability behavior comprehensively.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/api.bugasura.io"",""test_data_id"":""62""},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""value_variables"":[]},{""type"":""text"",""key"":""bug_title"",""value"":""Ti\u00eau \u0111\u1ec1 v\u1edbi d\u1ea5u"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""comment"",""value"":""B\u00ecnh lu\u1eadn v\u1edbi D\u1ea5u, v\u00e0 d\u1ea5u ch\u1ea5m!"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""search_term"",""value"":""T\u00ecm ki\u1ebfm v\u1edbi d\u1ea5u v\u00e0 ch\u1eef d\u00e0i"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Rich diacritic coverage is essential for realistic locale preparation and acceptance coverage.","Step 1: Navigate to {{base_url}} 
Step 2: Authenticate user with {{email}} and {{password}} 
Step 3: Navigate to 'Settings' screen 
Step 4: Select 'Language Preferences' option 
Step 5: Choose 'Vietnamese' from the dropdown 
Step 6: Confirm and save preferences 
Step 7: Enter a bug title with diacritics 
Step 8: Enter a comment with mixed case and punctuation 
Step 9: Enter a long string with Vietnamese diacritics 
Step 10: Verify search functionality with diacritic-rich search terms",,,,,
TES10581,"Prepare Bugasura user accounts for first-time, saved English, and saved Vietnamese states to drive correct language selection.",functionality,CRITICAL,P2,"Vietnamese Language Support","Test Data Preparation","Seeded accounts exist for first-time users, saved English preference users, and saved Vietnamese preference users with correct resolution precedence.","As a QA engineer, I want representative user accounts for each language-preference state so that I can validate that saved preference overrides automatic detection and first-time users receive the default detection path.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/api.bugasura.io"",""test_data_id"":""62""},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""value_variables"":[]}]","User preference precedence and user-state coverage are explicit acceptance criteria for this functionality.","Step 1: Navigate to {{base_url}} 
Step 2: Wait for the login page to load completely 
Step 3: Locate 'Email' field 
Step 4: Enter {{email}} in the 'Email' field 
Step 5: Locate 'Password' field 
Step 6: Enter {{password}} in the 'Password' field 
Step 7: Click 'Login' button 
Step 8: Wait for the navigation to complete 
Step 9: Verify 'Dashboard' page is displayed 
Step 10: Navigate to 'Settings' screen 
Step 11: Select 'Language Preferences' option 
Step 12: Choose 'Vietnamese' from the dropdown 
Step 13: Confirm and save preferences 
Step 14: Log out and log back in to verify language persistence",,,,,
TES10580,"Prepare Vietnamese resource sets in Bugasura for full, partial, and missing coverage to support fallback and loading behavior.",error_handling,HIGH,P2,"Vietnamese Language Support","Test Data Preparation","Resource datasets represent complete Vietnamese translation, partial translation, and unavailable language-file conditions.","As a QA engineer, I want versioned Vietnamese language resource datasets covering full, partial, and unavailable translation states so that I can validate English fallback, immediate switching readiness, and scalable loading/cache scenarios.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/api.bugasura.io"",""test_data_id"":""62""},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""value_variables"":[]}]","Fallback scenarios plus lazy loading and caching readiness are explicitly required in the functionality details.","Step 1: Navigate to {{base_url}} 
Step 2: Authenticate user with {{email}} and {{password}} 
Step 3: Navigate to 'Settings' screen 
Step 4: Select 'Language Preferences' option 
Step 5: Choose 'Vietnamese' from the dropdown 
Step 6: Confirm and save preferences 
Step 7: Verify full coverage by checking all UI components in Vietnamese 
Step 8: Simulate partial coverage by removing some translations 
Step 9: Verify fallback to English for missing translations 
Step 10: Simulate missing language file and verify page usability with fallback",,,,,
TES10579,"Prepare Bugasura text data so product-owned strings change to Vietnamese while user-entered content stays untouched.",localizability,HIGH,P2,"Vietnamese Language Support","Test Data Preparation","Dataset clearly separates translatable product-owned strings from non-translatable user-entered content containing Vietnamese diacritics.","As a QA validating localization rules, I want data that includes system labels plus user-created bug titles/comments in English and Vietnamese so that I can confirm only product-owned text is translated and user content is preserved.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/api.bugasura.io"",""test_data_id"":""62""},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""value_variables"":[]},{""type"":""text"",""key"":""bug_title"",""value"":""Test Bug in English"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""comment"",""value"":""B\u00ecnh lu\u1eadn b\u1eb1ng ti\u1ebfng Vi\u1ec7t"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","This is a direct business rule and a necessary distinction in Vietnamese test data preparation.","Step 1: Navigate to {{base_url}} 
Step 2: Authenticate user with {{email}} and {{password}} 
Step 3: Navigate to 'Settings' screen 
Step 4: Select 'Language Preferences' option 
Step 5: Choose 'Vietnamese' from the dropdown 
Step 6: Confirm and save preferences 
Step 7: Verify UI components are in Vietnamese 
Step 8: Enter a bug title in English and verify it remains unchanged 
Step 9: Enter a comment in Vietnamese and verify it remains unchanged",,,,,
TES10578,"Show Vietnamese diacritics correctly in Bugasura to preserve meaning and readability.",localizability,HIGH,P2,"Vietnamese Language Support","Test Data Preparation","Vietnamese diacritic characters render correctly in localized content and prepared test data.","Ananya uses Bugasura and expects Vietnamese diacritics to display accurately.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/app.bugasura.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""vietnamese_text"",""value"":""Ti\u1ebfng Vi\u1ec7t c\u00f3 d\u1ea5u"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Vietnamese diacritics are explicitly required in test data coverage for this functionality.","Step 1: Navigate to {{base_url}} 
Step 2: Log in using {{email}} and {{password}} 
Step 3: Enter Vietnamese text with diacritics in applicable fields 
Step 4: Verify that diacritics are displayed correctly 
Step 5: Ensure text rendering and readability is accurate",,,,,
TES10577,"Prepare mixed-language Bugasura data so Vietnamese UI and original user content appear together without confusion.",localizability,HIGH,P2,"Vietnamese Language Support","Test Data Preparation","Mixed-language workspace data includes product-owned Vietnamese UI text and unchanged user-entered content in original languages.","As a QA validating Vietnamese support, I want seeded workspace data containing English and Vietnamese user-entered records with a Vietnamese-preference user so that I can verify mixed-language surfaces behave correctly without altering user content.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/app.bugasura.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Mixed-language surfaces are explicitly in scope and critical for accurate locale dataset preparation.","Step 1: Navigate to {{base_url}} 
Step 2: Log in using {{email}} and {{password}} 
Step 3: Verify Vietnamese UI elements alongside English user content 
Step 4: Ensure no user content is altered by language settings 
Step 5: Check for correct display of mixed-language surfaces",,,,,
TES10576,"Open the same Bugasura workspace in different languages per user to support mixed-language collaboration.",functionality,HIGH,P2,"Vietnamese Language Support","Language Selection","Two users access the same workspace with different saved language preferences and each sees their own UI language.","As a Bugasura user collaborating with others, I want my language preference to be applied per user so that different users can work in the same workspace with their own preferred language.","[{""type"":""text"",""key"":""username1"",""value"":""user1@example.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password1"",""value"":""Password1!"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""username2"",""value"":""user2@example.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password2"",""value"":""Password2!"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""selection"",""key"":""language_code"",""value"":""Vietnamese"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Mixed-language workspace support is explicitly required and is important for real-world adoption in distributed teams.","Step 1: Navigate to the Bugasura login page. 
Step 2: Enter {{username1}} in the 'Username' field. 
Step 3: Enter {{password1}} in the 'Password' field. 
Step 4: Click the 'Login' button. 
Step 5: Wait for the dashboard to load. 
Step 6: Navigate to 'Settings Menu'. 
Step 7: Select 'Language' option from settings. 
Step 8: Select 'Vietnamese' from the 'language_code' dropdown. 
Step 9: Click 'Submit' to save the language preference. 
Step 10: Verify the language is switched to Vietnamese without page refresh. 
Step 11: Log out from the current session. 
Step 12: Repeat Steps 1-11 for a second user with different language preference. 
Step 13: Verify both users can see the same workspace in their preferred languages. 
Step 14: Confirm user preferences persist across sessions.",,,,,
TES10575,"Show Vietnamese in Bugasura product-owned UI while keeping user-created content unchanged to preserve original meaning.",localizability,HIGH,P2,"Vietnamese Language Support","Language Selection","Bugasura switches product-owned UI text to Vietnamese while existing user-generated content stays in its original language.","As a Bugasura user, I want system-owned labels and messages translated while bug titles, comments, and test details remain as originally entered so that data meaning is preserved.","[{""type"":""text"",""key"":""username"",""value"":""user_content_preserver"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""contentPreserve123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","This separation between product text and user-entered content is a key business rule for Vietnamese support.","Step 1: Navigate to Bugasura application 
Step 2: Authenticate user with credentials using 'username' field 
Step 3: Enter {{username}} in the 'Username' field 
Step 4: Enter {{password}} in the 'Password' field 
Step 5: Click 'Login' button 
Step 6: Change language setting to Vietnamese 
Step 7: Verify that product-owned UI text is in Vietnamese 
Step 8: Verify that user-created content remains in its original language",,,,,
TES10574,"Submit malformed values in Bugasura Language Selection to surface clear errors and avoid invalid preference data.",error_handling,HIGH,P2,"Vietnamese Language Support","Language Selection","User provides invalid format values for language-related inputs and Bugasura returns validation errors.","As Aarti Joshi, a QA Executive, I want to submit invalid format values so that the system reports input validation errors instead of accepting malformed language selection data.","[{""type"":""text"",""key"":""username"",""value"":""aarti_joshi"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""securePass!123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""language_code"",""value"":""12345"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Format validation is important to keep preference handling predictable and secure.","Step 1: Navigate to Bugasura application 
Step 2: Authenticate user with credentials using 'username' field 
Step 3: Enter {{username}} in the 'Username' field 
Step 4: Enter {{password}} in the 'Password' field 
Step 5: Click 'Login' button 
Step 6: Navigate to 'Settings' menu 
Step 7: Select 'Language' option from settings 
Step 8: Enter malformed value in the 'language_code' dropdown 
Step 9: Submit the language selection 
Step 10: Verify that an error message is displayed for malformed input 
Step 11: Ensure language preferences remain unchanged",,,,,
TES10573,"Enter an emoji in Bugasura Language Selection to block invalid input and protect stable language preferences.",error_handling,HIGH,P2,"Vietnamese Language Support","Language Selection","User attempts to submit an emoji as the language value and Bugasura rejects it safely.","As Rajesh Kulkarni, a QA Tester, I want to try selecting an emoji as a language to ensure the system rejects invalid non-language values and does not break language selection behavior.","[{""type"":""text"",""key"":""username"",""value"":""rajesh_kulkarni"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""password123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""language_code"",""value"":""\ud83d\ude0a"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Language Selection should reject malformed values that could corrupt preferences or disrupt localization flows.","Step 1: Navigate to Bugasura application 
Step 2: Authenticate user with credentials using 'username' field 
Step 3: Enter {{username}} in the 'Username' field 
Step 4: Enter {{password}} in the 'Password' field 
Step 5: Click 'Login' button 
Step 6: Navigate to 'Settings' menu 
Step 7: Select 'Language' option from settings 
Step 8: Enter an emoji in the 'language_code' dropdown 
Step 9: Submit the language selection 
Step 10: Verify that an error message is displayed for invalid input 
Step 11: Ensure language preferences remain unchanged",,,,,
TES10572,"View accurate Vietnamese text across Bugasura product-owned UI to understand actions, labels, and navigation clearly.",localizability,HIGH,P2,"Vietnamese Language Support","Language Selection","Product-owned labels, menus, dialogs, and settings appear in Vietnamese after selection.","As Riya, a Bugasura user, I want UI labels, menus, settings, and dialogs to display accurate Vietnamese translations so that I can understand and use the interface confidently.","[{""type"":""text"",""key"":""username"",""value"":""riya_user"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""Secure@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""selection"",""key"":""language_code"",""value"":""Vietnamese"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Correct translation quality is fundamental to the value of Vietnamese Language Selection.","Step 1: Navigate to the login page 
Step 2: Enter {{username}} in the 'Username' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click the 'Login' button 
Step 5: Wait for the dashboard to load 
Step 6: Navigate to 'Settings' menu 
Step 7: Select 'Language' option 
Step 8: Choose 'Vietnamese' from the 'language_code' dropdown 
Step 9: Click 'Submit' to confirm language selection 
Step 10: Verify that all UI elements display accurate Vietnamese translations",,,,,
TES10571,"Choose Vietnamese in Bugasura Language Selection with clear steps and reliable saved preference for a smoother experience.",usability,MEDIUM,P2,"Vietnamese Language Support","Language Selection","User navigates to settings, selects Vietnamese easily, and perceives the save behavior as predictable and understandable.","As Riya, a Bugasura user, I want selecting Vietnamese to be intuitive and the saved preference to remain stable so that the experience feels simple and trustworthy.","[{""type"":""text"",""key"":""username"",""value"":""riya_user"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""Secure@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""selection"",""key"":""language_code"",""value"":""Vietnamese"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Even correct functionality can fail business goals if the selection flow feels confusing or unreliable.","Step 1: Navigate to the login page 
Step 2: Enter {{username}} in the 'Username' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click the 'Login' button 
Step 5: Wait for the dashboard to load 
Step 6: Navigate to 'Settings' menu 
Step 7: Select 'Language' option 
Step 8: Choose 'Vietnamese' from the 'language_code' dropdown 
Step 9: Click 'Submit' to confirm language selection 
Step 10: Verify that the language preference is saved and reliable",,,,,
TES10570,"Select Vietnamese in Bugasura Language Selection and switch product-owned UI instantly to continue work without page reload.",functionality,HIGH,P2,"Vietnamese Language Support","Language Selection","User selects Vietnamese from profile settings and product-owned UI updates in the same interaction without full page reload.","As Anil, a Bugasura user, I want to select Vietnamese in profile settings and see product-owned UI elements update immediately so that I can continue work without interruption or manual refresh.","[{""type"":""text"",""key"":""username"",""value"":""anil_user"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""Secure@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""selection"",""key"":""language_code"",""value"":""Vietnamese"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Immediate UI response is a core expectation for Language Selection and directly affects user trust and usability.","Step 1: Navigate to the login page 
Step 2: Enter {{username}} in the 'Username' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click the 'Login' button 
Step 5: Wait for the dashboard to load 
Step 6: Navigate to 'Settings' menu 
Step 7: Select 'Language' option 
Step 8: Choose 'Vietnamese' from the 'language_code' dropdown 
Step 9: Click 'Submit' to save language selection 
Step 10: Verify the UI switches to Vietnamese immediately without page reload",,,,,
TES10569,"Bugasura opens with saved Vietnamese in future sessions to keep language experience consistent.",functionality,MEDIUM,P2,"Vietnamese Language Support","Automatic Detection","Saved Vietnamese preference exists in later sessions.","As a returning Bugasura user who manually selected Vietnamese earlier, I want Bugasura to keep opening in Vietnamese across future sessions without re-evaluating browser or IP signals, so that my chosen preference remains stable.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/bugasura.example.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""username"",""value"":""testuser@example.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Application should keep opening in Vietnamese consistently.","Step 1: Navigate to {{base_url}} 
Step 2: Enter {{username}} in the 'Username' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click 'Login' button 
Step 5: Navigate to 'Language Settings' via the user profile menu 
Step 6: Select 'Vietnamese' from the language dropdown 
Step 7: Save the language preference 
Step 8: Log out of the application 
Step 9: Log back in using {{username}} and {{password}} 
Step 10: Verify that the application opens in Vietnamese",,,,,
TES10568,"Bugasura keeps saved English instead of switching to Vietnamese to honor returning user choice.",functionality,HIGH,P2,"Vietnamese Language Support","Automatic Detection","Saved English preference exists while browser language or IP indicates Vietnamese.","As a returning Bugasura user who previously selected English, I want the application to continue opening in English even when my browser language or IP suggests Vietnamese, so that my explicit preference is respected.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/bugasura.example.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""username"",""value"":""testuser@example.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Application should continue opening in English.","Step 1: Navigate to {{base_url}} 
Step 2: Enter {{username}} in the 'Username' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click 'Login' button 
Step 5: Navigate to 'Language Settings' via the user profile menu 
Step 6: Verify that the selected language is English 
Step 7: Log out of the application 
Step 8: Log back in using {{username}} and {{password}} 
Step 9: Verify that the application still opens in English",,,,,
TES10567,"Bugasura falls back to English when Vietnamese cannot load to keep the interface usable.",error_handling,HIGH,P2,"Vietnamese Language Support","Automatic Detection","Vietnamese detection or language application fails during initial load.","Vinh’s Vietnamese language detection or application fails during first load, and the system should fall back to English while keeping the interface usable.",[],"System should fall back to English while keeping the interface usable.","Step 1: Simulate a failure in loading the Vietnamese language file. 
Step 2: Open the Bugasura application. 
Step 3: Verify the interface falls back to English.",,,,,
TES10566,"Bugasura switches language instantly without page reload to keep work uninterrupted.",usability,MEDIUM,P2,"Vietnamese Language Support","Automatic Detection","User changes language during an active session.","Ananya switches language within an active session and expects the UI language transition to feel immediate without requiring a full page reload.","[{""type"":""text"",""key"":""username"",""value"":""testuser"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""password123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Language transition should feel immediate without page reload.","Step 1: Log into Bugasura. 
Step 2: Navigate to 'Language Settings' via the user profile menu. 
Step 3: Change the language from English to Vietnamese. 
Step 4: Verify the interface updates to Vietnamese without a page reload.",,,,,
TES10565,"Bugasura opens in Vietnamese on first visit to guide users with matching browser language.",functionality,HIGH,P2,"Vietnamese Language Support","Automatic Detection","First-time access with browser language set to Vietnamese and no saved user preference.","Vinh accesses Bugasura for the first time with the browser language set to Vietnamese and no saved language preference, and expects the platform to display in Vietnamese by default.",[],"The platform should display in Vietnamese by default.","Step 1: Open Bugasura application in a browser with the language set to Vietnamese. 
Step 2: Verify the interface displays in Vietnamese by default.",,,,,
TES10564,"Suresh triggers a Vietnamese screen with a missing translation and the support team traces the exact language-resolution and fallback path in logs and localization metrics.","Business Critical Flow",HIGH,P2,Vietnamese,"Business Critical Flows","User-facing localization and fallback events must emit traceable logs and metrics that match the actual runtime resolution and failure path.","Suresh is a QA engineer in Noida running a canary scenario after the Vietnamese rollout. He signs in with a saved Vietnamese preference, opens a core page, and intentionally hits a surface where one translation key is unavailable. He sees a partial English fallback and immediately raises it to the support team. The support engineer must be able to trace whether the page resolved language from saved preference, whether fallback happened because a key was missing or because resources failed to load, and whether this defect is visible in localization quality dashboards. What breaks if this fails: the user-facing flow may partly degrade, but the deeper cross-story failure is that observability is disconnected from runtime behavior. The product can fall back, yet the team cannot diagnose why, cannot measure impact, and cannot decide whether to rollback or fix quickly.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""123456"",""test_data_id"":""26045""},{""type"":""text"",""key"":""preferred_language"",""value"":""Vietnamese"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Structured logs capture resolved language, winning source of resolution, fallback usage, and resource-load result; missing translation or fallback events are visible in localization metrics/dashboard signals; the observed user experience matches what logs report; support and QA can distinguish missing-key fallback from resource-load failure; the event trail is sufficient for triage or rollback decisions.","Step 1: Launch the Bugasura application. 
Step 2: Enter the email in the 'Email' field. 
Step 3: Enter the password in the 'Password' field. 
Step 4: Click the 'Login' button. 
Step 5: Wait for the dashboard to load. 
Step 6: Navigate to 'Account Settings'. 
Step 7: Select 'Vietnamese' from the language dropdown. 
Step 8: Click 'Save' to apply changes. 
Step 9: Refresh the page. 
Step 10: Navigate to a core page with known missing translation. 
Step 11: Verify that missing translations fallback to English. 
Step 12: Check logs for language resolution and fallback events.",,,,,
